Primer	noun	withdef.1	A primer is a short, single-stranded DNA sequence used in the polymerase chain reaction (PCR) technique. In the PCR method, a pair of primers is used to hybridize with the sample DNA and define the region of the DNA that will be amplified. Primers are also referred to as oligonucleotides.	http://www.genome.gov/glossary/index.cfm?id=163
Genetic Drift	noun	withdef.2	Genetic drift is a mechanism of evolution. It refers to random fluctuations in the frequencies of alleles from generation to generation due to chance events. Genetic drift can cause traits to be dominant or disappear from a population. The effects of genetic drift are most pronounced in small populations.	http://www.genome.gov/glossary/index.cfm?id=81
Proband	noun	withdef.3	A proband is an individual being studied or reported on. A proband is usually the first affected individual in a family who brings a genetic disorder to the attention of the medical community.	http://www.genome.gov/glossary/index.cfm?id=164
Repressor	noun	withdef.4	A repressor is a protein that turns off the expression of one or more genes. The repressor protein works by binding to the gene's promoter region, preventing the production of messenger RNA (mRNA).	http://www.genome.gov/glossary/index.cfm?id=174
Genetic Epidemiology	noun	withdef.5	Genetic epidemiology is a relatively new medical discipline that seeks to understand how genetic factors interact with the environment in the context of disease in populations. Areas of study include the causes of inherited disease and its distribution and control.	http://www.genome.gov/glossary/index.cfm?id=83
complex disease	noun	withdef.6	A complex disease is caused by the interaction of multiple genes and environmental factors. Complex diseases are also called multifactorial. Examples of complex diseases include cancer and heart disease.	http://www.genome.gov/glossary/index.cfm?id=37
Substitution	noun	withdef.7	Substitution is a type of mutation where one base pair is replaced by a different base pair. The term also refers to the replacement of one amino acid in a protein with a different amino acid.	http://www.genome.gov/glossary/index.cfm?id=190
Gene Therapy	noun	withdef.8	Gene therapy is an experimental technique for treating disease by altering the patient's genetic material. Most often, gene therapy works by introducing a healthy copy of a defective gene into the patient's cells.	http://www.genome.gov/glossary/index.cfm?id=77
Pseudogene	noun	withdef.9	A pseudogene is a DNA sequence that resembles a gene but has been mutated into an inactive form over the course of evolution. A pseudogene shares an evolutionary history with a functional gene and can provide insight into their shared ancestry.	http://www.genome.gov/glossary/index.cfm?id=170
antisense	noun	withdef.10	Antisense is the non-coding DNA strand of a gene. A cell uses antisense DNA strand as a template for producing messenger RNA (mRNA) that directs the synthesis of a protein.	http://www.genome.gov/glossary/index.cfm?id=9
