9;TIT16;628;10;8;0;0;;0;0;0;;0;0;0;;0;0;
5;WRI00;;;;0;0;;0;0;0;;0;0;0;1;0;4;8
11;WRI00;;;;0;0;;0;0;0;;0;1;0;2;0;0;
5;ADD01;8;8;16;0;4;8;0;0;4;8;0;1;4;16;0;0;
11;WRI00;;;;0;0;;0;0;0;;0;2;0;3;0;0;
9;ADD01;8;6;14;0;4;8;0;1;4;6;0;0;0;;0;0;
6;WRI02;4;1;;0;0;;0;0;0;;0;2;4;4;0;0;
5;ADD01;1;1;2;1;3;1;0;0;0;;0;2;3;2;0;0;
11;WRI00;;;;0;0;;0;0;0;;0;3;0;4;0;0;
9;ADD01;8;4;12;0;4;8;0;2;4;4;0;0;0;;0;0;
6;WRI02;2;1;;0;0;;0;0;0;;0;3;4;2;0;0;
5;ADD01;2;1;3;2;3;2;0;0;0;;0;3;3;3;0;0;
11;WRI00;;;;0;0;;0;0;0;;0;4;0;5;0;0;
9;ADD01;8;2;10;0;4;8;0;3;4;2;0;0;0;;0;0;
6;WRI02;0;1;;0;0;;0;0;0;;0;4;4;0;0;0;
5;ADD01;3;1;4;3;3;3;0;0;0;;0;4;3;4;0;0;
11;WRI00;;;;0;0;;0;0;0;;0;5;0;6;0;0;
9;ADD01;8;0;8;0;4;8;0;4;4;0;0;0;0;;0;0;
6;WRI03;8;0;;0;0;;0;0;0;;0;5;4;8;0;0;
5;WRI04;4;;;4;3;4;0;0;0;;0;5;3;4;0;0;
11;WRI00;;;;0;0;;0;0;0;;0;6;0;7;0;0;
9;ADD01;8;8;16;0;4;8;0;5;4;8;0;0;0;;0;0;
6;WRI02;6;1;;0;0;;0;0;0;;0;6;4;6;0;0;
5;ADD01;4;1;5;5;3;4;0;0;0;;0;6;3;5;0;0;
11;WRI00;;;;0;0;;0;0;0;;0;7;0;8;0;0;
9;ADD01;8;6;14;0;4;8;0;6;4;6;0;0;0;;0;0;
6;WRI02;4;1;;0;0;;0;0;0;;0;7;4;4;0;0;
5;ADD01;5;1;6;6;3;5;0;0;0;;0;7;3;6;0;0;
11;WRI00;;;;0;0;;0;0;0;;0;8;0;9;0;0;
9;ADD01;8;4;12;0;4;8;0;7;4;4;0;0;0;;0;0;
6;WRI02;2;1;;0;0;;0;0;0;;0;8;4;2;0;0;
1;ADD01;6;1;7;7;3;6;0;0;0;;0;8;3;7;0;0;
1;NXP01;;;;0;0;;0;0;0;;0;0;0;;0;0;
9;WRI00;;;;0;0;;0;0;0;;0;1;0;628;0;0;
9;DRA02;;;;0;0;;0;0;0;;0;1;1;;1;1;
8;DRA01;;;;0;0;;0;0;0;;0;1;0;;3;0;
8;WRI00;;;;0;0;;0;0;0;;0;1;1;8;2;2;..
4;HOO01;;;;0;0;;0;0;0;;0;1;-2;;1;-1;
8;DIV01;62;8;7;1;2;62;0;1;1;8;0;2;1;7;0;0;
8;WRI05;56;;;0;0;;0;0;0;;0;0;0;;0;0;
11;WRI00;;;;0;0;;0;0;0;;0;2;-1;56;0;0;
