9;TIT14;628;10;10;0;0;;0;0;0;;0;0;0;;0;0;
0;CNV01;628;10;10;0;0;;0;0;0;;0;0;0;;0;0;
9;TIT14;4;10;16;0;0;;0;0;0;;0;0;0;;0;0;
0;CNV01;4;10;16;0;0;;0;0;0;;0;0;0;;0;0;
9;TIT14;628;10;8;0;0;;0;0;0;;0;0;0;;0;0;
8;WRI00;;;;0;0;;0;0;0;;0;1;2;8;1;10;10
8;WRI00;;;;0;0;;0;0;0;;0;2;2;9;2;10;11
1;WRI00;;;;0;0;;0;0;0;;0;3;2;10;3;10;12
11;NXP01;;;;0;0;;0;0;0;;0;0;0;;0;0;
3;CNV02;6;6;;0;0;;0;0;0;;0;1;0;6;0;0;
9;WRI00;;;;0;0;;0;0;0;;0;2;0;12;2;-3;×
5;DRA02;;;;0;0;;0;0;0;;0;2;0;;2;-2;
8;MUL01;2;6;14;2;0;2;0;1;0;6;0;0;0;;0;0;
5;WRI00;;;;0;0;;0;0;0;;0;3;0;14;0;0;
7;WRI00;;;;0;0;;0;0;0;;0;4;0;.;0;0;
8;MUL01;1;6;6;2;-1;1;0;1;0;6;0;0;0;;0;0;
5;WRI00;;;;0;0;;0;0;0;;0;4;-1;6;0;0;
4;DRA02;;;;0;0;;0;0;0;;0;4;-2;;4;0;
5;WRI04;4;;;3;0;4;0;0;0;;0;5;0;4;0;0;
4;ADD01;1;6;7;3;-1;1;0;4;-1;6;0;5;-1;7;0;0;
9;CNV02;2;2;;0;0;;0;0;0;;0;6;0;2;6;-3;+
5;DRA02;;;;0;0;;0;0;0;;0;6;0;;6;-2;
8;ADD01;4;2;6;5;0;4;0;6;0;2;0;0;0;;0;0;
5;WRI03;6;0;;0;0;;0;0;0;;0;7;0;6;0;0;
3;WRI04;7;;;5;-1;7;0;0;0;;0;7;-1;7;0;0;
9;WRI00;;;;0;0;;0;0;0;;0;8;0;12;8;-3;×
5;DRA02;;;;0;0;;0;0;0;;0;8;0;;8;-2;
8;MUL01;2;6;14;8;0;2;0;7;0;6;0;0;0;;0;0;
7;WRI02;4;1;;0;0;;0;0;0;;0;9;0;4;0;0;
