9;TIT19;510;514;10;0;0;;0;0;0;;0;0;0;;0;0;
3;WRI00;;;;0;0;;0;0;0;;0;0;10;510;0;3;514
5;DIV07;5;2;1;0;1;5;0;0;0;;0;1;1;2;0;0;
5;DIV07;11;5;1;0;2;1;0;0;0;;0;1;2;5;0;0;
5;DIV07;14;7;0;0;3;4;0;0;0;;0;1;3;7;0;0;
5;MUL01;2;0;0;0;10;0;0;0;0;;0;1;10;0;0;0;
5;MUL01;2;1;2;0;9;1;0;0;0;;0;1;9;2;0;0;
5;MUL01;2;5;10;0;8;5;0;0;0;;0;1;8;10;0;0;
5;DIV07;2;1;0;1;1;2;0;0;0;;0;2;1;1;0;0;
5;DIV07;5;2;1;1;2;5;0;0;0;;0;2;2;2;0;0;
5;DIV07;17;8;1;1;3;7;0;0;0;;0;2;3;8;0;0;
5;MUL01;2;0;0;1;10;0;0;0;0;;0;2;10;0;0;0;
5;MUL01;2;2;4;1;9;2;0;0;0;;0;2;9;4;0;0;
5;MUL01;2;0;0;1;8;0;0;0;0;;0;2;8;0;0;0;
5;MUL01;2;1;2;1;7;1;0;0;0;;0;2;7;2;0;0;
5;DIV07;1;0;1;2;1;1;0;0;0;;0;3;1;0;0;0;
5;DIV07;12;6;0;2;2;2;0;0;0;;0;3;2;6;0;0;
5;DIV07;8;4;0;2;3;8;0;0;0;;0;3;3;4;0;0;
5;MUL01;2;0;0;2;10;0;0;0;0;;0;3;10;0;0;0;
5;MUL01;2;4;8;2;9;4;0;0;0;;0;3;9;8;0;0;
5;MUL01;2;0;0;2;8;0;0;0;0;;0;3;8;0;0;0;
5;MUL01;2;2;4;2;7;2;0;0;0;;0;3;7;4;0;0;
5;DIV07;6;3;0;3;2;6;0;0;0;;0;4;2;3;0;0;
5;DIV07;4;2;0;3;3;4;0;0;0;;0;4;3;2;0;0;
5;MUL01;2;0;0;3;10;0;0;0;0;;0;4;10;0;0;0;
5;MUL01;2;8;16;3;9;8;0;0;0;;0;4;9;16;0;0;
6;MUL01;2;0;0;3;8;0;0;0;0;;0;0;0;;0;0;
5;ADD02;1;1;;0;0;;0;0;0;;0;4;8;1;0;0;
5;MUL01;2;4;8;3;7;4;0;0;0;;0;4;7;8;0;0;
5;DIV07;3;1;1;4;2;3;0;0;0;;0;5;2;1;0;0;
5;DIV07;12;6;0;4;3;2;0;0;0;;0;5;3;6;0;0;
5;MUL01;2;0;0;4;10;0;0;0;0;;0;5;10;0;0;0;
5;MUL01;2;6;12;4;9;6;0;0;0;;0;5;9;12;0;0;
6;MUL01;2;1;2;4;8;1;0;0;0;;0;0;0;;0;0;
5;ADD02;1;3;;0;0;;0;0;0;;0;5;8;3;0;0;
5;MUL01;2;8;16;4;7;8;0;0;0;;0;5;7;16;0;0;
5;DIV07;1;0;1;5;2;1;0;0;0;;0;6;2;0;0;0;
