use Unicode::Collate::CJK::Zhuyin
overrideCJK Unicode::Collate::CJK::Zhuyin::weightZhuyin
02C9;[.0.0199.2.02C9]
02CA;[.019A.20.2.02CA]
02C7;[.019B.20.2.02C7]
02CB;[.019C.20.2.02CB]
02D9;[.019D.20.2.02D9]
02EA;[.019E.20.2.02EA]
02EB;[.019F.20.2.02EB]
0101;a--4
0100;A--4
00E1;a--3
00C1;A--3
01CE;a--2
01CD;A--2
00E0;a--1
00C0;A--1
0113;e--4
0112;E--4
00E9;e--3
00C9;E--3
011B;e--2
011A;E--2
00E8;e--1
00C8;E--1
00EA 0304;e++1
00CA 0304;E++1
{e}0302 0304;<00EA 0304>
{E}0302 0304;<00CA 0304>
1EBF;e++2
1EBE;E++2
00EA 0301;<1EBF>
00EA 0341;<1EBF>
00CA 0301;<1EBE>
00CA 0341;<1EBE>
00EA 030C;e++3
00CA 030C;E++3
{e}0302 030C;<00EA 030C>
{E}0302 030C;<00CA 030C>
1EC1;e++4
1EC0;E++4
00EA 0300;<1EC1>
00EA 0340;<1EC1>
00CA 0300;<1EC0>
00CA 0340;<1EC0>
00EA;e++5
00CA;E++5
012B;i--4
012A;I--4
00ED;i--3
00CD;I--3
01D0;i--2
01CF;I--2
00EC;i--1
00CC;I--1
{m}0304;m--4
{M}0304;M--4
1E3F;m--3
1E3E;M--3
{m}030C;m--2
{M}030C;M--2
{m}0300;m--1
{m}0340;m--1
{M}0300;M--1
{M}0340;M--1
{n}0304;n--4
{N}0304;N--4
0144;n--3
0143;N--3
0148;n--2
0147;N--2
01F9;n--1
01F8;N--1
014D;o--4
014C;O--4
00F3;o--3
00D3;O--3
01D2;o--2
01D1;O--2
00F2;o--1
00D2;O--1
016B;u--4
016A;U--4
00FA;u--3
00DA;U--3
01D4;u--2
01D3;U--2
00F9;u--1
00D9;U--1
01D6;u++1
01D5;U++1
00FC 0304;<01D6>
00DC 0304;<01D5>
01D8;u++2
01D7;U++2
00FC 0301;<01D8>
00FC 0341;<01D8>
00DC 0301;<01D7>
00DC 0341;<01D7>
01DA;u++3
01D9;U++3
00FC 030C;<01DA>
00DC 030C;<01D9>
01DC;u++4
01DB;U++4
00FC 0300;<01DC>
00FC 0340;<01DC>
00DC 0300;<01DB>
00DC 0340;<01DB>
00FC;u++5
00DC;U++5
FDD0 3105;[.8000.20.2.FDD0]
2E8A;[.80B5.20.2.2E8A]
FDD0 3106;[.83B1.20.2.FDD0]
FDD0 3107;[.8626.20.2.FDD0]
FDD0 3108;[.897F.20.2.FDD0]
2ECF;[.8BC0.20.2.2ECF]
2ED6;[.8BC1.20.2.2ED6]
FDD0 3109;[.8C0D.20.2.FDD0]
2E88;[.8C86.20.2.2E88]
FDD0 310A;[.901F.20.2.FDD0]
FDD0 310B;[.93D9.20.2.FDD0]
2EA7;[.9525.20.2.2EA7]
FDD0 310C;[.95D9.20.2.FDD0]
3007;[.9A41.20.2.3007]
FDD0 310D;[.9C5F.20.2.FDD0]
2EE3;[.9E0A.20.2.2EE3]
FDD0 310E;[.9FD2.20.2.FDD0]
FDD0 310F;[.A223.20.2.FDD0]
FDD0 3110;[.A697.20.2.FDD0]
2E95;[.A762.20.2.2E95]
2E86;[.AD18.20.2.2E86]
FDD0 3111;[.AD38.20.2.FDD0]
FDD0 3112;[.B164.20.2.FDD0]
2E8C;[.B383.20.2.2E8C]
2E8D;[.B384.20.2.2E8D]
FDD0 3113;[.B6E9.20.2.FDD0]
2EA5;[.B8AC.20.2.2EA5]
FDD0 3114;[.BBAC.20.2.FDD0]
2ECC;[.BE9D.20.2.2ECC]
2ECD;[.BE9E.20.2.2ECD]
FDD0 3115;[.BF5A.20.2.FDD0]
2EAC;[.BFBC.20.2.2EAC]
2EAE;[.BFC1.20.2.2EAE]
FDD0 3116;[.C2A2.20.2.FDD0]
2E9C;[.C2A3.20.2.2E9C]
2EBC;[.C2D3.20.2.2EBC]
2EB6;[.C311.20.2.2EB6]
FDD0 3117;[.C402.20.2.FDD0]
FDD0 3118;[.C630.20.2.FDD0]
2EBE;[.C6CA.20.2.2EBE]
FDD0 3119;[.C7F6.20.2.FDD0]
FDD0 311A;[.CA13.20.2.FDD0]
FDD0 311B;[.CA19.20.2.FDD0]
FDD0 311C;[.CA1E.20.2.FDD0]
FDD0 311E;[.CAA0.20.2.FDD0]
FDD0 311F;[.CAE8.20.2.FDD0]
FDD0 3120;[.CAEB.20.2.FDD0]
FDD0 3121;[.CB2E.20.2.FDD0]
FDD0 3122;[.CB51.20.2.FDD0]
FDD0 3123;[.CB8B.20.2.FDD0]
FDD0 3124;[.CB94.20.2.FDD0]
FDD0 3125;[.CBA0.20.2.FDD0]
FDD0 3126;[.CBA2.20.2.FDD0]
FDD0 3127;[.CBDB.20.2.FDD0]
2E84;[.CDB5.20.2.2E84]
2E80;[.CEDF.20.2.2E80]
FDD0 3128;[.D16F.20.2.FDD0]
FDD0 3129;[.D403.20.2.FDD0]
2ED7;[.D47E.20.2.2ED7]
2E9D;[.D53B.20.2.2E9D]
3220;<0028 4E00 0029>+++?
3226;<0028 4E03 0029>+++?
3222;<0028 4E09 0029>+++?
3228;<0028 4E5D 0029>+++?
3221;<0028 4E8C 0029>+++?
3224;<0028 4E94 0029>+++?
3239;<0028 4EE3 0029>+++?
323D;<0028 4F01 0029>+++?
3241;<0028 4F11 0029>+++?
3227;<0028 516B 0029>+++?
3225;<0028 516D 0029>+++?
3238;<0028 52B4 0029>+++?
3229;<0028 5341 0029>+++?
323F;<0028 5354 0029>+++?
3234;<0028 540D 0029>+++?
323A;<0028 547C 0029>+++?
3223;<0028 56DB 0029>+++?
322F;<0028 571F 0029>+++?
323B;<0028 5B66 0029>+++?
3230;<0028 65E5 0029>+++?
322A;<0028 6708 0029>+++?
3232;<0028 6709 0029>+++?
322D;<0028 6728 0029>+++?
3231;<0028 682A 0029>+++?
322C;<0028 6C34 0029>+++?
322B;<0028 706B 0029>+++?
3235;<0028 7279 0029>+++?
323C;<0028 76E3 0029>+++?
3233;<0028 793E 0029>+++?
3237;<0028 795D 0029>+++?
3240;<0028 796D 0029>+++?
3242;<0028 81EA 0029>+++?
3243;<0028 81F3 0029>+++?
3236;<0028 8CA1 0029>+++?
323E;<0028 8CC7 0029>+++?
322E;<0028 91D1 0029>+++?
3358;<0030 70B9>+++?
33E9;<0031 0030 65E5>+++?
32C9;<0031 0030 6708>+++?
3362;<0031 0030 70B9>+++?
33EA;<0031 0031 65E5>+++?
32CA;<0031 0031 6708>+++?
3363;<0031 0031 70B9>+++?
33EB;<0031 0032 65E5>+++?
32CB;<0031 0032 6708>+++?
3364;<0031 0032 70B9>+++?
33EC;<0031 0033 65E5>+++?
3365;<0031 0033 70B9>+++?
33ED;<0031 0034 65E5>+++?
3366;<0031 0034 70B9>+++?
33EE;<0031 0035 65E5>+++?
3367;<0031 0035 70B9>+++?
33EF;<0031 0036 65E5>+++?
3368;<0031 0036 70B9>+++?
33F0;<0031 0037 65E5>+++?
3369;<0031 0037 70B9>+++?
33F1;<0031 0038 65E5>+++?
336A;<0031 0038 70B9>+++?
33F2;<0031 0039 65E5>+++?
336B;<0031 0039 70B9>+++?
33E0;<0031 65E5>+++?
32C0;<0031 6708>+++?
3359;<0031 70B9>+++?
33F3;<0032 0030 65E5>+++?
336C;<0032 0030 70B9>+++?
33F4;<0032 0031 65E5>+++?
336D;<0032 0031 70B9>+++?
33F5;<0032 0032 65E5>+++?
336E;<0032 0032 70B9>+++?
33F6;<0032 0033 65E5>+++?
336F;<0032 0033 70B9>+++?
33F7;<0032 0034 65E5>+++?
3370;<0032 0034 70B9>+++?
33F8;<0032 0035 65E5>+++?
33F9;<0032 0036 65E5>+++?
33FA;<0032 0037 65E5>+++?
33FB;<0032 0038 65E5>+++?
33FC;<0032 0039 65E5>+++?
33E1;<0032 65E5>+++?
32C1;<0032 6708>+++?
335A;<0032 70B9>+++?
33FD;<0033 0030 65E5>+++?
33FE;<0033 0031 65E5>+++?
33E2;<0033 65E5>+++?
32C2;<0033 6708>+++?
335B;<0033 70B9>+++?
33E3;<0034 65E5>+++?
32C3;<0034 6708>+++?
335C;<0034 70B9>+++?
33E4;<0035 65E5>+++?
32C4;<0035 6708>+++?
335D;<0035 70B9>+++?
33E5;<0036 65E5>+++?
32C5;<0036 6708>+++?
335E;<0036 70B9>+++?
33E6;<0037 65E5>+++?
32C6;<0037 6708>+++?
335F;<0037 70B9>+++?
33E7;<0038 65E5>+++?
32C7;<0038 6708>+++?
3360;<0038 70B9>+++?
33E8;<0039 65E5>+++?
32C8;<0039 6708>+++?
3361;<0039 70B9>+++?
1F241;<3014 4E09 3015>+++?
1F242;<3014 4E8C 3015>+++?
1F247;<3014 52DD 3015>+++?
1F243;<3014 5B89 3015>+++?
1F245;<3014 6253 3015>+++?
1F248;<3014 6557 3015>+++?
1F240;<3014 672C 3015>+++?
1F244;<3014 70B9 3015>+++?
1F246;<3014 76D7 3015>+++?
2F00;<4E00>+++?
3192;<4E00>+++?
3280;<4E00>+++?
1F229;<4E00>+++?
319C;<4E01>+++?
3286;<4E03>+++?
3194;<4E09>+++?
3282;<4E09>+++?
1F22A;<4E09>+++?
3196;<4E0A>+++?
32A4;<4E0A>+++?
3198;<4E0B>+++?
32A6;<4E0B>+++?
319B;<4E19>+++?
2F01;<4E28>+++?
3197;<4E2D>+++?
32A5;<4E2D>+++?
1F22D;<4E2D>+++?
2F02;<4E36>+++?
2F03;<4E3F>+++?
2F04;<4E59>+++?
319A;<4E59>+++?
3288;<4E5D>+++?
2F05;<4E85>+++?
2F06;<4E8C>+++?
3193;<4E8C>+++?
3281;<4E8C>+++?
1F214;<4E8C>+++?
3284;<4E94>+++?
2F07;<4EA0>+++?
1F218;<4EA4>+++?
2F08;<4EBA>+++?
319F;<4EBA>+++?
32AD;<4F01>+++?
32A1;<4F11>+++?
329D;<512A>+++?
2F09;<513F>+++?
2F0A;<5165>+++?
2F0B;<516B>+++?
3287;<516B>+++?
3285;<516D>+++?
2F0C;<5182>+++?
1F21E;<518D>+++?
2F0D;<5196>+++?
32A2;<5199>+++?
2F0E;<51AB>+++?
2F0F;<51E0>+++?
2F10;<51F5>+++?
2F11;<5200>+++?
1F220;<521D>+++?
1F21C;<524D>+++?
1F239;<5272>+++?
2F12;<529B>+++?
3298;<52B4>+++?
2F13;<52F9>+++?
2F14;<5315>+++?
2F15;<531A>+++?
2F16;<5338>+++?
32A9;<533B>+++?
2F17;<5341>+++?
3038;<5341>+++?
3289;<5341>+++?
3039;<5344>+++?
303A;<5345>+++?
32AF;<5354>+++?
2F18;<535C>+++?
2F19;<5369>+++?
329E;<5370>+++?
2F1A;<5382>+++?
2F1B;<53B6>+++?
2F1C;<53C8>+++?
1F212;<53CC>+++?
2F1D;<53E3>+++?
1F251;<53EF>+++?
32A8;<53F3>+++?
1F22E;<53F3>+++?
1F234;<5408>+++?
3294;<540D>+++?
1F225;<5439>+++?
3244;<554F>+++?
1F23A;<55B6>+++?
2F1E;<56D7>+++?
3195;<56DB>+++?
3283;<56DB>+++?
2F1F;<571F>+++?
328F;<571F>+++?
319E;<5730>+++?
2F20;<58EB>+++?
1F224;<58F0>+++?
2F21;<5902>+++?
2F22;<590A>+++?
2F23;<5915>+++?
1F215;<591A>+++?
32B0;<591C>+++?
2F24;<5927>+++?
337D;<5927 6B63>+++?
319D;<5929>+++?
1F217;<5929>+++?
2F25;<5973>+++?
329B;<5973>+++?
2F26;<5B50>+++?
1F211;<5B57>+++?
32AB;<5B66>+++?
2F27;<5B80>+++?
32AA;<5B97>+++?
2F28;<5BF8>+++?
2F29;<5C0F>+++?
2F2A;<5C22>+++?
2F2B;<5C38>+++?
2F2C;<5C6E>+++?
2F2D;<5C71>+++?
2F2E;<5DDB>+++?
2F2F;<5DE5>+++?
32A7;<5DE6>+++?
1F22C;<5DE6>+++?
2F30;<5DF1>+++?
2F31;<5DFE>+++?
2F32;<5E72>+++?
337B;<5E73 6210>+++?
2F33;<5E7A>+++?
3245;<5E7C>+++?
2F34;<5E7F>+++?
2F35;<5EF4>+++?
2F36;<5EFE>+++?
2F37;<5F0B>+++?
2F38;<5F13>+++?
2F39;<5F50>+++?
2F3A;<5F61>+++?
2F3B;<5F73>+++?
1F21D;<5F8C>+++?
1F250;<5F97>+++?
2F3C;<5FC3>+++?
2F3D;<6208>+++?
2F3E;<6236>+++?
2F3F;<624B>+++?
1F210;<624B>+++?
1F231;<6253>+++?
1F227;<6295>+++?
1F22F;<6307>+++?
1F228;<6355>+++?
2F40;<652F>+++?
2F41;<6534>+++?
2F42;<6587>+++?
3246;<6587>+++?
2F43;<6597>+++?
1F21B;<6599>+++?
2F44;<65A4>+++?
1F21F;<65B0>+++?
2F45;<65B9>+++?
2F46;<65E0>+++?
2F47;<65E5>+++?
3290;<65E5>+++?
337E;<660E 6CBB>+++?
1F219;<6620>+++?
337C;<662D 548C>+++?
2F48;<66F0>+++?
2F49;<6708>+++?
328A;<6708>+++?
1F237;<6708>+++?
3292;<6709>+++?
1F236;<6709>+++?
2F4A;<6728>+++?
328D;<6728>+++?
3291;<682A>+++?
337F;<682A 5F0F 4F1A 793E>+++?
2F4B;<6B20>+++?
2F4C;<6B62>+++?
32A3;<6B63>+++?
2F4D;<6B79>+++?
2F4E;<6BB3>+++?
2F4F;<6BCB>+++?
2E9F;<6BCD>+++?
2F50;<6BD4>+++?
2F51;<6BDB>+++?
2F52;<6C0F>+++?
2F53;<6C14>+++?
2F54;<6C34>+++?
328C;<6C34>+++?
329F;<6CE8>+++?
1F235;<6E80>+++?
1F226;<6F14>+++?
2F55;<706B>+++?
328B;<706B>+++?
1F21A;<7121>+++?
2F56;<722A>+++?
2F57;<7236>+++?
2F58;<723B>+++?
2F59;<723F>+++?
2F5A;<7247>+++?
2F5B;<7259>+++?
2F5C;<725B>+++?
3295;<7279>+++?
2F5D;<72AC>+++?
2F5E;<7384>+++?
2F5F;<7389>+++?
2F60;<74DC>+++?
2F61;<74E6>+++?
2F62;<7518>+++?
2F63;<751F>+++?
1F222;<751F>+++?
2F64;<7528>+++?
2F65;<7530>+++?
3199;<7532>+++?
1F238;<7533>+++?
329A;<7537>+++?
2F66;<758B>+++?
2F67;<7592>+++?
2F68;<7676>+++?
2F69;<767D>+++?
2F6A;<76AE>+++?
2F6B;<76BF>+++?
32AC;<76E3>+++?
2F6C;<76EE>+++?
2F6D;<77DB>+++?
2F6E;<77E2>+++?
2F6F;<77F3>+++?
2F70;<793A>+++?
3293;<793E>+++?
3297;<795D>+++?
1F232;<7981>+++?
2F71;<79B8>+++?
2F72;<79BE>+++?
3299;<79D8>+++?
2F73;<7A74>+++?
1F233;<7A7A>+++?
2F74;<7ACB>+++?
2F75;<7AF9>+++?
3247;<7B8F>+++?
2F76;<7C73>+++?
2F77;<7CF8>+++?
1F221;<7D42>+++?
2F78;<7F36>+++?
2F79;<7F51>+++?
2F7A;<7F8A>+++?
2F7B;<7FBD>+++?
2F7C;<8001>+++?
2F7D;<800C>+++?
2F7E;<8012>+++?
2F7F;<8033>+++?
2F80;<807F>+++?
2F81;<8089>+++?
2F82;<81E3>+++?
2F83;<81EA>+++?
2F84;<81F3>+++?
