# lou-en2kana.csv
# Copyright 2007 Naoki Tomita <tomita@cpan.org>
# License: GPL
#
# This dictionary is based on the following resource. 
# - bep-eng.dic
#   Copyright 1999-2006 Bilingual Emacspeak Project. All rights reserved.
#   Originally created by Jun Ishikawa and GrassRoots users group.
# - General Service List Top 2000 words
# - ALC SVL12000's Level 1,2
# - Brown Corpus 2000 Most Common Words
# - Japanese junior high school English text
# - and, Lou Ohshiba's Blog (http://mycasty.jp/louooshiba/)

ability,アビリティー
able,エイブル
about,アバウト
abroad,アブロード
absent,アブセント
accent,アクセント
accept,アクセプト
accessory,アクセサリー
accident,アクシデント
account,アカウント
across,アクロス
act,アクト
action,アクション
active,アクティブ
activity,アクティビティー
actor,アクター
actress,アクトレス
actual,アクチュアル
actually,アクチュアリー
adapt,アダプト
add,アッド
address,アドレス
adjust,アジャスト
admire,アドマイアー
adult,アダルト
advanced,アドバンスド
adventure,アドベンチャー
advice,アドバイス
afraid,アフレイド
after,アフター
afternoon,アフターヌーン
again,アゲイン
against,アゲンスト
age,エイジ
agency,エージェンシー
agent,エージェント
ago,アゴー
agree,アグリー
ah,アー
ahead,アヘッド
air,エア
album,アルバム
alive,アライブ
all,オール
allow,アラウ
almond,アーモンド
almost,オールモスト
alone,アローン
along,アロング
alphabet,アルファベット
already,オールレディー
also,オールソー
always,オールウェイズ
am,アム
amateur,アマチュア
amaze,アメイズ
amazing,アメイジング
ambitious,アンビシャス
amuse,アミューズ
amusing,アミュージング
an,アン
analyze,アナライズ
and,アンド
angel,エンジェル
anger,アンガー
angry,アングリー
animal,アニマル
anniversary,アニバーサリー
announce,アナウンス
another,アナザー
answer,アンサー
ant,アント
antique,アンティーク
anxiety,アングザイエティー
anxious,アンクシャス
any,エニー
anybody,エニバディー
anyone,エニワン
anything,エニシング
anyway,エニウェイ
anywhere,エニウェア
apart,アパート
apology,アポロジー
appear,アピアー
appearance,アピアランス
apple,アップル
apply,アプライ
approach,アプローチ
approval,アプルーバル
april,エイプリル
are,ァー
area,エリア
arm,アーム
army,アーミー
around,アラウンド
arrange,アレンジ
arrival,アライバル
arrive,アライブ
art,アート
artist,アーティスト
as,アズ
aside,アサイド
ask,アスク
asleep,アスリープ
assist,アシスト
associate,アソシエイト
association,アソシエイション
at,アット
athletic,アスレティック
attack,アタック
attend,アテンド
attention,アテンション
attraction,アトラクション
audience,オーディエンス
august,オーガスト
aunt,アーント
automobile,オートモビール
autumn,オータム
awake,アウェイク
aware,アウェアー
away,アウェイ
baby,ベイビー
back,バック
bacon,ベーコン
bad,バッド
badly,バッドリー
bag,バッグ
bake,ベイク
baker,ベイカー
balance,バランス
ball,ボール
balloon,バルーン
banana,バナナ
band,バンド
bank,バンク
banking,バンキング
bar,バー
base,ベース
basic,ベーシック
basket,バスケット
bat,バット
bath,バス
battle,バトル
bay,ベイ
be,ビー
beach,ビーチ
beam,ビーム
bean,ビーン
bear,ベアー
beat,ビート
beautiful,ビューティフル
beautifully,ビューティフリー
beauty,ビューティ
because,ビコーズ
become,ビカム
bed,ベッド
bee,ビー
beef,ビーフ
been,ビーン
beer,ビアー
before,ビフォー
begin,ビギン
beginning,ビギニング
behave,ビヘイブ
behind,ビハインド
believe,ビリーブ
bell,ベル
belong,ビロング
below,ビロー
belt,ベルト
bench,ベンチ
bend,ベンド
beside,ビサイド
best,ベスト
better,ベター
between,ビトゥイーン
beyond,ビヨンド
bicycle,バイシクル
big,ビッグ
bike,バイク
billion,ビリオン
bird,バード
birth,バース
birthday,バースデー
bit,ビット
black,ブラック
blame,ブレイム
blanket,ブランケット
blend,ブレンド
blind,ブラインド
block,ブロック
blood,ブラッド
blossom,ブロッサム
blow,ブロゥ
blue,ブルー
board,ボード
boat,ボート
body,ボディー
boil,ボイル
boiler,ボイラー
bolt,ボルト
bond,ボンド
bonus,ボーナス
book,ブック
boot,ブート
boring,ボーリング
born,ボーン
borrow,ボロゥ
boss,ボス
both,ボッス
bottle,ボトゥル
bottom,ボトム
bow,バウ
bowl,ボール
box,ボックス
boy,ボーイ
brain,ブレイン
brake,ブレーキ
branch,ブランチ
brandy,ブランディ
brave,ブレイブ
bread,ブレッド
break,ブレイク
breakfast,ブレックファースト
breath,ブレス
breathe,ブリーズ
brick,ブリック
bridge,ブリッジ
bright,ブライト
brilliant,ブリリアント
bring,ブリング
broad,ブロード
broken,ブロークン
brother,ブラザー
brown,ブラウン
brush,ブラッシュ
build,ビルド
building,ビルディング
burn,バーン
burst,バースト
bus,バス
bush,ブッシュ
business,ビジネス
busy,ビジー
but,But
butter,バター
butterfly,バタフライ
button,ボタン
buy,バイ
by,バイ
bye,バーイ
cab,キャブ
cable,ケーブル
cafe,カフェ
cage,ケージ
cake,ケーキ
calendar,カレンダー
call,コール
camera,カメラ
camp,キャンプ
campus,キャンパス
can,キャン
candle,キャンドル
candy,キャンディー
cap,キャップ
capacity,キャパシティー
capital,キャピタル
captain,キャプテン
capture,キャプチャ
car,カー
card,カード
care,ケア
careful,ケアフル
carefully,ケアフリー
carnival,カーニバル
carpenter,カーペンター
carry,キャリー
case,ケース
cash,キャッシュ
cast,キャスト
castle,キャッスル
cat,キャット
catalog,カタログ
catch,キャッチ
category,カテゴリー
cause,コーズ
ceiling,シーリング
cent,セント
center,センター
central,セントラル
century,センチュリー
chain,チェーン
chair,チェアー
chalk,チョーク
challenge,チャレンジ
champion,チャンピオン
chance,チャンス
change,チェンジ
chapter,チャプター
character,キャラクター
charge,チャージ
cheap,チープ
check,チェック
cheek,チーク
cheer,チアー
cheese,チーズ
chef,シェフ
cherry,チェリー
chess,チェス
chest,チェスト
chicken,チキン
chief,チーフ
child,チャイルド
children,チルドレン
chocolate,チョコレート
choice,チョイス
choose,チューズ
chop,チョップ
christmas,クリスマス
church,チャーチ
cigar,シガー
cigarette,シガレット
cinema,シネマ
circle,サークル
citizen,シチズン
city,シティー
claim,クレイム
class,クラス
classical,クラシカル
classroom,クラスルーム
clean,クリーン
cleaning,クリーニング
clear,クリアー
clearly,クリアリー
clerk,クラーク
clever,クレバー
climb,クライム
clinic,クリニク
clip,クリップ
clock,クロック
close,クローズ
closet,クロゼット
cloth,クロース
clothes,クローズズ
cloud,クラウド
cloudy,クラウディー
club,クラブ
coal,コウル
coast,コウスト
coat,コウト
coffee,コーヒー
coin,コイン
cold,コウルド
