Siebel Enterprise Applications Siebel Server Manager, Version 8.1.1.11 [23030] LANG_INDEPENDENT 
Copyright (c) 1994-2012, Oracle. All rights reserved.

The Programs (which include both the software and documentation) contain
proprietary information; they are provided under a license agreement containing
restrictions on use and disclosure and are also protected by copyright, patent,
and other intellectual and industrial property laws. Reverse engineering,
disassembly, or decompilation of the Programs, except to the extent required to
obtain interoperability with other independently created software or as specified
by law, is prohibited.

Oracle, JD Edwards, PeopleSoft, and Siebel are registered trademarks of
Oracle Corporation and/or its affiliates. Other names may be trademarks
of their respective owners.

If you have received this software in error, please notify Oracle Corporation
immediately at 1.800.ORACLE1.

Type "help" for list of commands, "help <topic>" for detailed help

Connected to 12 server(s) out of a total of 12 server(s) in the enterprise

srvrmgr> load preferences
File: /foobar/siebel/81/siebsrvr/bin/.Siebel_svrmgr.pref

srvrmgr> list comp

SV_NAME     |CC_ALIAS         |CC_NAME                                    |CT_ALIAS   |CG_ALIAS |CC_RUNMODE |CP_DISP_RUN_STATE|CP_STARTMODE|CP_NUM_RUN_TASKS|CP_MAX_TASKS|CP_ACTV_MTS_PROCS|CP_MAX_MTS_PROCS|CP_START_TIME      |CP_END_TIME        |CP_STATUS|CC_INCARN_NO|CC_DESC_TEXT|
------------  -----------------  -------------------------------------------  -----------  ---------  -----------  -----------------  ------------  ----------------  ------------  -----------------  ----------------  -------------------  -------------------  ---------  ------------  ------------  
sieb_serv056|FSMSrvr          |File System Manager                        |FSMSrvr    |SystemAux|Batch      |Online           |Auto        |0               |20          |1                |1               |2016-09-19 14:42:27|                   |Enabled  |            |            |
sieb_serv056|SMSMLObjMgr_enu  |Marketing Object Manager (ENU)             |AppObjMgr  |MktgOM   |Interactive|Online           |Auto        |0               |20          |1                |1               |2016-09-19 14:42:32|                   |Enabled  |            |            |
sieb_serv056|SMObjMgr_enu     |Marketing Object Manager (ENU)             |AppObjMgr  |MktgOM   |Interactive|Online           |Auto        |0               |20          |1                |1               |2016-09-19 14:42:32|                   |Enabled  |            |            |
sieb_serv056|SMObjMgr_esn     |Marketing Object Manager (ESN)             |AppObjMgr  |MktgOM   |Interactive|Online           |Auto        |0               |20          |1                |1               |2016-09-19 14:42:32|                   |Enabled  |            |            |
sieb_serv056|SMSMLObjMgr_esn  |Marketing Object Manager (ESN)             |AppObjMgr  |MktgOM   |Interactive|Online           |Auto        |0               |20          |1                |1               |2016-09-19 14:42:32|                   |Enabled  |            |            |
sieb_serv056|SMObjMgr_ptb     |Marketing Object Manager (PTB)             |AppObjMgr  |MktgOM   |Interactive|Online           |Auto        |0               |20          |1                |1               |2016-09-19 14:42:32|                   |Enabled  |            |            |
sieb_serv056|SMSMLObjMgr_ptb  |Marketing Object Manager (PTB)             |AppObjMgr  |MktgOM   |Interactive|Online           |Auto        |0               |20          |1                |1               |2016-09-19 14:42:32|                   |Enabled  |            |            |
sieb_serv056|ServerMgr        |Server Manager                             |ServerMgr  |System   |Interactive|Running          |Auto        |2               |20          |                 |                |2016-09-19 14:42:27|                   |Enabled  |            |            |
sieb_serv056|SRBroker         |Server Request Broker                      |ReqBroker  |System   |Interactive|Running          |Auto        |34              |100         |1                |1               |2016-09-19 14:42:27|                   |Enabled  |            |            |
sieb_serv056|SRProc           |Server Request Processor                   |SRProc     |SystemAux|Interactive|Running          |Auto        |2               |20          |1                |1               |2016-09-19 14:42:27|                   |Enabled  |            |            |
sieb_serv056|SvrTblCleanup    |Server Tables Cleanup                      |BusSvcMgr  |SystemAux|Background |Shutdown         |Manual      |0               |1           |                 |                |                   |2016-09-19 14:42:27|Enabled  |            |            |
sieb_serv056|SvrTaskPersist   |Server Task Persistance                    |BusSvcMgr  |SystemAux|Background |Running          |Auto        |1               |1           |                 |                |2016-09-19 14:42:27|                   |Enabled  |            |            |
sieb_serv056|AdminNotify      |Siebel Administrator Notification Component|AdminNotify|SystemAux|Batch      |Online           |Auto        |0               |10          |1                |1               |2016-09-19 14:42:27|                   |Enabled  |            |            |
sieb_serv056|SCBroker         |Siebel Connection Broker                   |SCBroker   |System   |Background |Running          |Auto        |2               |2           |                 |                |2016-09-19 14:42:27|                   |Enabled  |            |            |
