# Deduceri pentru 4 persoane
# Tab separated columns
#
#VBL-min	VBL-max	deducere
1	1950	1310
1951	2000	1295
2001	2050	1280
2051	2100	1265
2101	2150	1250
2151	2200	1235
2201	2250	1220
2251	2300	1205
2301	2350	1190
2351	2400	1175
2401	2450	1160
2451	2500	1145
2501	2550	1130
2551	2600	1115
2601	2650	1100
2651	2700	1085
2701	2750	1070
2751	2800	1055
2801	2850	1040
2851	2900	1025
2901	2950	1010
2951	3000	995
3001	3050	980
3051	3100	965
3101	3150	950
3151	3200	935
3201	3250	920
3251	3300	905
3301	3350	890
3351	3400	875
3401	3450	860
3451	3500	845
3501	3550	830
3551	3600	815
3601	999999	0
