# Deduceri pentru 0 persoane
# Tab separated columns
#
#VBL-min	VBL-max	deducere
1	1950	510
1951	2000	495
2001	2050	480
2051	2100	465
2101	2150	450
2151	2200	435
2201	2250	420
2251	2300	405
2301	2350	390
2351	2400	375
2401	2450	360
2451	2500	345
2501	2550	330
2551	2600	315
2601	2650	300
2651	2700	285
2701	2750	270
2751	2800	255
2801	2850	240
2851	2900	225
2901	2950	210
2951	3000	195
3001	3050	180
3051	3100	165
3101	3150	150
3151	3200	135
3201	3250	120
3251	3300	105
3301	3350	90
3351	3400	75
3401	3450	60
3451	3500	45
3501	3550	30
3551	3600	15
3601	999999	0
