"phytohub_id"	"compound_name"	"is_a_precursor"	"is_a_metabolite"	"exact_mass"	"molecular_formula"	"smiles"	"inchikey"
"PHUB000001"	"16-O-Methylcafestol"	1	0	330.2194948260	"C21H30O3"	"CO[C@]1(CO)C[C@]23C[C@@H]1CC[C@H]2[C@]1(C)CCC2=C(C=CO2)[C@H]1CC3"	"BDVVNPOGDNWUOI-VVHJISIGSA-N"
"PHUB000002"	"3'-O-beta-D-glucopyranosyl-2'-O-isovaleryl-2beta-(2-desoxy-atractyligenin)-beta-D-glucopyranoside"	1	0	728.3619211030	"C36H56O15"	"[H][C@]12C[C@@]3(CC[C@]4([H])[C@@H](C[C@H](C[C@@]4(C)[C@]3([H])CC1)OC1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]1OC(=O)CC(C)C)C(O)=O)[C@@H](O)C2=C"	"DOYDQNQLCHBFDK-KSEREDHQSA-N"
"PHUB000003"	"Atractyligenin"	1	0	320.1987593820	"C19H28O4"	"[H][C@]12C[C@@]3(CC[C@]4([H])[C@@H](C[C@@H](O)C[C@@]4(C)[C@]3([H])CC1)C(O)=O)[C@@H](O)C2=C"	"YRHWUYVCCPXYMB-JIMOHSCASA-N"
"PHUB000004"	"Atractyligenin (2-O-beta-glucopyranosyl-)"	1	0	480.2723182480	"C26H40O8"	"[H][C@]12C[C@@]3(CC[C@]4([H])[C@@H](C[C@H](C[C@@]4(C)[C@]3([H])CC1)OC1O[C@H](CO)[C@@H](O)[C@H](C)[C@H]1O)C(O)=O)[C@@H](O)C2=C"	"YEAZCNLETNYACR-DRBRKHBCSA-N"
"PHUB000005"	"Atractyloside"	1	0	724.2081748450	"C30H44O16S2"	"[H][C@]12C[C@@]3(CC[C@]4([H])[C@@H](C[C@H](C[C@@]4(C)[C@]3([H])CC1)O[C@@H]1O[C@H](CO)[C@@H](OS([O-])(=O)=O)[C@H](OS([O-])(=O)=O)[C@H]1OC(=O)CC(C)C)C(O)=O)[C@@H](O)C2=C"	"FYQXODZRNSCOTR-QLKRWLHJSA-L"
"PHUB000006"	"Cafestol"	1	0	316.2038447620	"C20H28O3"	"C[C@@]12CCC3=C(C=CO3)[C@H]1CC[C@@]13C[C@H](CC[C@@H]21)[C@@](O)(CO)C3"	"DNJVYWXIDISQRD-JTSSGKSMSA-N"
"PHUB000007"	"Carboxyatractyloside"	1	0	768.1980040850	"C31H44O18S2"	"[H]OC([H])([H])C1([H])OC([H])(OC2([H])C([H])([H])C(C([O-])=O)(C([O-])=O)C3([H])C([H])([H])C([H])([H])[C@@]45C([H])([H])[C@]([H])(C(=C([H])[H])[C@@]4([H])O[H])C([H])([H])C([H])([H])C5([H])[C@@]3(C([H])([H])[H])C2([H])[H])C([H])(OC(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(OS(=O)(=O)O[H])C1([H])OS(=O)(=O)O[H]"	"AQFATIOBERWBDY-VUQDFJQVSA-L"
"PHUB000008"	"Carnosol"	1	0	330.1831093170	"C20H26O4"	"CC(C)C1=CC2=C(C(O)=C1O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3=O"	"XUSYGBPHQBWGAD-PJSUUKDQSA-N"
"PHUB000009"	"Ineketone"	1	0	318.2194948260	"C20H30O3"	"CC1(C)CCC[C@H]2[C@]3(C)[C@@H](O)C[C@@](C)(C=C)C=C3C(=O)C[C@]12O"	"BWRPYSJNBVBIRP-FLFBIERCSA-N"
"PHUB000010"	"Kahweol"	1	0	314.1881946970	"C20H26O3"	"C[C@@]12C=CC3=C(C=CO3)[C@H]1CC[C@@]13C[C@@H](CC[C@@H]21)[C@@](O)(CO)C3"	"JEKMKNDURXDJAD-HWUKTEKMSA-N"
