Symbol, Description, Action, Quantity, Price, Commission, Reg Fees, Date, TransactionID, Order Number, Transaction Type ID, Total Cost

AAPL,AAPL - APPLE INC,Sell,4,624.37,8.95,0.06,5/27/2014 1:54:46 PM,358777097,149784341,6,2488.47
AAPL,AAPL - APPLE INC,Sell,4,596.84,8.95,0.06,5/7/2014 9:44:58 AM,355905239,149070515,6,2378.35
AAPL,AAPL - APPLE INC,Sell,4,598.85,8.95,0.06,4/30/2014 10:56:59 AM,354710547,148729692,6,2386.39
AAPL,AAPL - APPLE INC,Buy,4,507.75,8.95,0,1/28/2014 11:19:58 AM,340005500,144864396,6,-2039.95
AAPL,AAPL - APPLE INC,Buy,4,544.3,8.95,0,1/3/2014 12:27:47 PM,336352888,143674025,6,-2186.15
AAPL,AAPL - APPLE INC,Buy,4,541.6,8.95,0,12/18/2013 12:56:56 PM,333793505,143280445,6,-2175.35
AAPL,AAPL - APPLE INC,Sell,10,506.626,8.95,0.09,10/18/2013 9:47:55 AM,324647952,140909210,6,5057.22
AAPL,AAPL - APPLE INC,Buy,5,448.42,8.95,0,9/16/2013 3:37:18 PM,319667978,139630752,6,-2251.05
AAPL,AAPL - APPLE INC,Buy,5,467.1399,8.95,0,9/13/2013 10:20:31 AM,319435997,139543931,6,-2344.65
AAPL,AAPL - APPLE INC,Sell,5,408.3301,8.95,0.04,7/1/2013 11:24:29 AM,308540540,136748346,6,2032.66
AAPL,AAPL - APPLE INC,Buy,5,390.9,8.95,0,6/28/2013 9:30:08 AM,308174397,136567623,6,-1963.45
