Symbol, Description, Action, Quantity, Price, Commission, Reg Fees, Date, TransactionID, Order Number, Transaction Type ID, Total Cost

AMD,AMD - ADVANCED MICRO DEVICES INC,Sell,600,4.27,8.95,0.06,4/22/2014 1:01:18 PM,353450318,147501573,6,2552.99
AMD,AMD - ADVANCED MICRO DEVICES INC,Sell,600,3.7101,8.95,0.04,2/11/2014 1:41:50 PM,342320631,145522048,6,2217.07
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,600,3.36,8.95,0,2/3/2014 11:37:18 AM,340993027,145119016,6,-2024.95
AMD,AMD - ADVANCED MICRO DEVICES INC,Sell,500,4.34,0,0.04,1/15/2014 9:30:28 AM,338012890,143919414,6,2169.96
AMD,AMD - ADVANCED MICRO DEVICES INC,Sell,100,4.34,8.95,0.01,1/15/2014 9:30:04 AM,338011839,143919414,6,425.04
AMD,AMD - ADVANCED MICRO DEVICES INC,Sell,1200,3.6338,8.95,0.08,12/2/2013 12:32:25 PM,331307128,142666898,6,4351.53
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,600,3.1799,8.95,0,10/22/2013 1:30:07 PM,325148342,141092829,6,-1916.89
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,600,3.32,8.95,0,10/21/2013 11:32:54 AM,324926527,141015600,6,-2000.95
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,600,3.58,8.95,0,10/18/2013 2:48:27 PM,324686867,140958342,6,-2156.95
AMD,AMD - ADVANCED MICRO DEVICES INC,Sell,1075,4,0,0.08,10/14/2013 12:48:03 PM,323872420,140697780,6,4299.92
AMD,AMD - ADVANCED MICRO DEVICES INC,Sell,125,4,8.95,0.01,10/14/2013 12:12:43 PM,323870310,140697780,6,491.04
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,600,3.5671,8.95,0,10/9/2013 11:45:15 AM,323281814,140530629,6,-2149.21
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,600,3.8,8.95,0,9/20/2013 3:31:24 PM,320483658,139863196,6,-2288.95
AMD,AMD - ADVANCED MICRO DEVICES INC,Sell,600,3.94,8.95,0.05,9/18/2013 3:58:09 PM,320074403,139739784,6,2355
AMD,AMD - ADVANCED MICRO DEVICES INC,Sell,600,3.58,8.95,0.04,9/6/2013 1:08:19 PM,318450069,139285191,6,2139.01
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,600,3.37,8.95,0,8/27/2013 10:28:17 AM,316909995,138906785,6,-2030.95
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,600,3.76,8.95,0,7/23/2013 10:35:44 AM,311752653,137413364,6,-2264.95
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,600,3.94,8.95,0,7/19/2013 10:22:23 AM,311312112,137409974,6,-2372.95
AMD,AMD - ADVANCED MICRO DEVICES INC,Sell,530,4.28,8.95,0.04,7/11/2013 10:36:40 AM,310021120,137090325,6,2259.41
AMD,AMD - ADVANCED MICRO DEVICES INC,Sell,700,4.02,8.95,0.05,6/21/2013 3:30:03 PM,307162383,136427721,6,2805
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,500,3.87,0,0,6/20/2013 3:47:06 PM,306950385,136356176,6,-1935
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,200,3.87,8.95,0,6/20/2013 3:46:42 PM,306950294,136356176,6,-782.95
AMD,AMD - ADVANCED MICRO DEVICES INC,Sell,266,3.92,8.95,0.03,5/9/2013 9:31:35 AM,300775493,134425909,6,1033.74
AMD,AMD - ADVANCED MICRO DEVICES INC,Sell,100,3.92,0,0.01,5/9/2013 9:31:35 AM,300775496,134425909,6,391.99
AMD,AMD - ADVANCED MICRO DEVICES INC,Sell,34,3.92,0,0,5/9/2013 9:31:35 AM,300775497,134425909,6,133.28
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,300,2.38,0,0,3/4/2013 10:30:25 AM,291015417,131571965,6,-714
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,100,2.38,8.95,0,3/4/2013 10:30:09 AM,291015363,131571965,6,-246.95
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,120,3.19,8.95,0,10/2/2012 12:43:32 PM,269202156,126073198,6,-391.75
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,100,3.48,0,0,9/5/2012 9:39:52 AM,265306059,124989299,6,-348
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,100,3.48,8.95,0,9/5/2012 9:39:51 AM,265306058,124989299,6,-356.95
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,150,3.83,8.95,0,8/27/2012 3:43:48 PM,264016323,124710134,6,-583.45
AMD,AMD - ADVANCED MICRO DEVICES INC,Buy,60,4.11,8.95,0,7/24/2012 1:01:00 PM,259305528,123428484,6,-255.55
