"A","Agriculture, Forestry and Fishing",,,
,"01","Agriculture",,
,,"011","Nursery and Floriculture Production",
,,,"0111","Nursery Production (Under Cover)"
,,,"0112","Nursery Production (Outdoors)"
,,,"0113","Turf Growing"
,,,"0114","Floriculture Production (Under Cover)"
,,,"0115","Floriculture Production (Outdoors)"
,,"012","Mushroom and Vegetable Growing",
,,,"0121","Mushroom Growing"
,,,"0122","Vegetable Growing (Under Cover)"
,,,"0123","Vegetable Growing (Outdoors)"
,,"013","Fruit and Tree Nut Growing",
,,,"0131","Grape Growing"
,,,"0132","Kiwifruit Growing"
,,,"0133","Berry Fruit Growing"
,,,"0134","Apple and Pear Growing"
,,,"0135","Stone Fruit Growing"
,,,"0136","Citrus Fruit Growing"
,,,"0137","Olive Growing"
,,,"0139","Other Fruit and Tree Nut Growing"
,,"014","Sheep, Beef Cattle and Grain Farming",
,,,"0141","Sheep Farming (Specialised)"
,,,"0142","Beef Cattle Farming (Specialised)"
,,,"0143","Beef Cattle Feedlots (Specialised)"
,,,"0144","Sheep-Beef Cattle Farming"
,,,"0145","Grain-Sheep or Grain-Beef Cattle Farming"
,,,"0146","Rice Growing"
,,,"0149","Other Grain Growing"
,,"015","Other Crop Growing",
,,,"0151","Sugar Cane Growing"
,,,"0152","Cotton Growing"
,,,"0159","Other Crop Growing n.e.c."
,,"016","Dairy Cattle Farming",
,,,"0160","Dairy Cattle Farming"
,,"017","Poultry Farming",
,,,"0171","Poultry Farming (Meat)"
,,,"0172","Poultry Farming (Eggs)"
,,"018","Deer Farming",
,,,"0180","Deer Farming"
,,"019","Other Livestock Farming",
,,,"0191","Horse Farming"
,,,"0192","Pig Farming"
,,,"0193","Beekeeping"
,,,"0199","Other Livestock Farming n.e.c."
,"02","Aquaculture",,
,,"020","Aquaculture",
,,,"0201","Offshore Longline and Rack Aquaculture"
,,,"0202","Offshore Caged Aquaculture"
,,,"0203","Onshore Aquaculture"
,"03","Forestry and Logging",,
,,"030","Forestry and Logging",
,,,"0301","Forestry"
,,,"0302","Logging"
,"04","Fishing, Hunting and Trapping",,
,,"041","Fishing",
,,,"0411","Rock Lobster and Crab Potting"
,,,"0412","Prawn Fishing"
,,,"0413","Line Fishing"
,,,"0414","Fish Trawling, Seining and Netting"
,,,"0419","Other Fishing"
,,"042","Hunting and Trapping",
,,,"0420","Hunting and Trapping"
,"05","Agriculture, Forestry and Fishing Support Services",,
,,"051","Forestry Support Services",
,,,"0510","Forestry Support Services"
,,"052","Agriculture and Fishing Support Services",
,,,"0521","Cotton Ginning"
,,,"0522","Shearing Services"
,,,"0529","Other Agriculture and Fishing Support Services"
"B","Mining",,,
,"06","Coal Mining",,
