# Tree contents generated by Tree::Numbered::Tools->outputFile().
# Redirect this output to a file called for example 'tree.txt'.
# To create a tree object, use the Tree::Numbered::Tools->readFile() method with 'tree.txt' as the filename argument.
# For details, check the Tree::Numbered::Tools documentation.
#
  name            url                          
# ----            ---                          
  File            file.pl                      
    New           file-new.pl                  
   Template    file-new-template.pl         
     Window      file-new-window.pl           
    Open          file-open.pl                 
    Save          file-save.pl                 
    Close         file-close.pl                
    Exit          file-exit.pl                 
  Edit            edit.pl                      
    Undo          edit-undo.pl                 
    Cut           edit-cut.pl                  
    Copy          edit-copy.pl                 
    Paste         edit-paste.pl                
    Find          edit-find.pl                 
  View            view.pl                      
    Toolbars      view-toolbars.pl             
       Navigation  view-toolbars-navigation.pl  
       Location    view-toolbars-location.pl    
       Personal    view-toolbars-personal.pl    
    Reload        view-reload.pl               
    Source        view-source.pl               
      Zoom        zoom.pl                      
        100%      onehundred.pl                      
