"XX101AA",10,394251,806376,"S92000003","","S08000006","","S12000033","S13002483"
"XX101AB",10,394232,806470,"S92000003","","S08000006","","S12000033","S13002483"
"XX101AF",10,394181,806429,"S92000003","","S08000006","","S12000033","S13002483"
"XX101AG",10,394251,806376,"S92000003","","S08000006","","S12000033","S13002483"
"XX101AH",10,394371,806359,"S92000003","","S08000006","","S12000033","S13002483"
"XX101AL",10,394331,806530,"S92000003","","S08000006","","S12000033","S13002483"
"XX101AN",10,394367,806542,"S92000003","","S08000006","","S12000033","S13002483"
"XX101AP",10,394291,806424,"S92000003","","S08000006","","S12000033","S13002483"
"XX101AQ",10,394371,806359,"S92000003","","S08000006","","S12000033","S13002483"
"XX101AR",10,394371,806359,"S92000003","","S08000006","","S12000033","S13002483"
