able,abler,ablest
sticky,stickier,stickiest
stiff,stiffer,stiffest
stocky,stockier,stockiest
stout,stouter,stoutest
straight,straighter,straightest
strange,stranger,strangest
strict,stricter,strictest
strong,stronger,strongest
stupid,stupider,stupidest
sturdy,sturdier,sturdiest
subtle,subtler,subtlest
sunny,sunnier,sunniest
sure,surer,surest
sweet,sweeter,sweetest
swift,swifter,swiftest
tall,taller,tallest
tame,tamer,tamest
tasty,tastier,tastiest
teeny,teenier,teeniest
tender,tenderer,tenderest
thick,thicker,thickest
thin,thinner,thinnest
tidy,tidier,tidiest
tight,tighter,tightest
tiny,tinier,tiniest
tough,tougher,toughest
trendy,trendier,trendiest
tricky,trickier,trickiest
trim,trimmer,trimmest
true,truer,truest
ugly,uglier,ugliest
unhappy,unhappier,unhappiest
unkind,unkinder,unkindest
unlikely,unlikelier,unlikeliest
unlucky,unluckier,unluckiest
vague,vaguer,vaguest
vast,vaster,vastest
vile,viler,vilest
wacky,wackier,wackiest
warm,warmer,warmest
weak,weaker,weakest
wealthy,wealthier,wealthiest
weighty,weightier,weightiest
weird,weirder,weirdest
western,westerner,westernest
wet,wetter,wettest
white,whiter,whitest
wicked,wickeder,wickedest
wide,wider,widest
wild,wilder,wildest
wise,wiser,wisest
witty,wittier,wittiest
worthy,worthier,worthiest
yellow,yellower,yellowest
young,younger,youngest
