release,date,author,status,maturity,version,first,distribution,abstract
Net-SNMP-4.0.1,2002-01-01T14:16:29,DTOWN,backpan,released,v4.0.1,,Net-SNMP,"Create a SNMPv3 security key for the Net::SNMP module"
DBD-mysql-2.1009,2002-01-01T20:02:26,JWIED,backpan,released,2.1009,,DBD-mysql,"A bundle to install Perl drivers for mSQL or MySQL"
IPC-Run-0.62,2002-01-01T20:42:40,RBS,backpan,released,0.62,,IPC-Run,"system() and background procs w/ piping, redirs, ptys (Unix, Win32)"
WWW-Link-0.031,2002-01-01T20:44:31,MIKEDLR,backpan,released,0.031,,WWW-Link,"maintain information about the state of links"
Link_Controller-0.031,2002-01-01T20:44:46,MIKEDLR,backpan,released,0.031,,Link_Controller,"work out which RPMs are being used by Link_Controller."
PBJ-JNI-0.1,2002-01-01T21:09:16,PING,latest,released,0.1,1,PBJ-JNI,"Full access to and from Java virtual machine from Perl."
Apache-Gallery-0.3,2002-01-01T23:35:30,LEGART,backpan,released,0.3,,Apache-Gallery,"mod_perl handler to create an image gallery"
CGI-Widget-0.12,2002-01-02T01:07:31,ALLENDAY,cpan,released,0.12,,CGI-Widget,"Base class for CGI::Widget::..."
GPIB_0_30,2002-01-02T03:13:38,JEFFMOCK,latest,released,0_30,1,GPIB,"Perl extension for GPIB devices"
ShiftJIS-Regexp-0.23,2002-01-02T05:11:12,SADAHIRO,backpan,released,0.23,,ShiftJIS-Regexp,"Shift_JIS-oriented regexps on the byte-oriented perl"
ShiftJIS-String-0.16,2002-01-02T05:11:28,SADAHIRO,backpan,released,0.16,,ShiftJIS-String,"functions to manipulate Shift_JIS encoded strings"
Mail-Box-2.006,2002-01-02T07:42:39,MARKOV,backpan,released,2.006,,Mail-Box,"list a mailbox"
historylogger,2002-01-02T08:45:35,ARDAN,backpan,released,0,1,historylogger,
podlators-1.19,2002-01-02T09:18:31,RRA,backpan,released,1.19,,podlators,"Convert POD data to formatted *roff input"
WebTools-1.11,2002-01-02T13:29:26,JLISHEV,backpan,released,1.11,,WebTools,"Full featured WEB Development Tools (compare with Php language) in Perl syntax"
Net-IRC-0.73,2002-01-02T13:51:57,JEEK,cpan,released,0.73,,Net-IRC,"Perl interface to the Internet Relay Chat protocol"
Win32-TieRegistry-Dump-0.01,2002-01-02T15:30:39,LGODDARD,backpan,released,0.01,1,Win32-TieRegistry-Dump,"dump Win32 registry tree"
Games-GuessWord-0.14,2002-01-02T16:31:58,LBROCARD,backpan,released,0.14,1,Games-GuessWord,"Guess the letters in a word (ie Hangman)"
Quota-1.4.1,2002-01-02T18:24:36,TOMZO,backpan,released,v1.4.1,,Quota,"Perl interface to file system quotas"
Math-NumberCruncher-4.04,2002-01-02T18:50:24,SIFUKURT,backpan,released,4.04,,Math-NumberCruncher,"Very useful, commonly needed math/statistics/geometric functions."
Term-Cap-1.07,2002-01-02T22:08:30,JSTOWE,backpan,released,1.07,,Term-Cap,"Perl termcap interface"
Finance-Streamer-1.07,2002-01-03T00:54:11,JERI,backpan,released,1.07,,Finance-Streamer,"Interface to Datek Streamer."
Test-Differences-0.42,2002-01-03T01:29:59,RBS,backpan,released,0.42,,Test-Differences,"Test strings and data structures and show differences if not ok"
Log-Dispatch-Config-0.10,2002-01-03T02:16:59,MIYAGAWA,backpan,released,0.10,,Log-Dispatch-Config,"Log4j for Perl"
Mail-ListDetector-Detector-Fml-0.03,2002-01-03T02:28:23,MIYAGAWA,cpan,released,0.03,,Mail-ListDetector-Detector-Fml,"FML message detector"
